	b0	height_in	weight_lb	midparent_in	mean_absolute_deviation_50	mean_absolute_deviation_90
4	-10.2567	1.23812	-0.0087235	0.50286	1	2.25
4.5	-10.719	1.15964	-0.0074454	0.52887	0.99	2.3
5	-11.0213	1.10675	-0.0064788	0.53919	0.98	2.35
5.5	-11.1556	1.0748	-0.005776	0.53691	0.97	2.3
6	-11.1138	1.05923	-0.0052947	0.52513	0.96	2.25
6.5	-11.0221	1.05542	-0.0049892	0.50692	0.95	2.2
7	-10.9984	1.05877	-0.0048144	0.48538	0.94	2.15
7.5	-11.0214	1.06467	-0.0047256	0.46361	0.93	2.1
8	-11.0696	1.06853	-0.0046778	0.44469	0.92	2.05
8.5	-11.1571	1.05166	-0.0046261	0.42776	0.91	2
9	-11.1571	1.05166	-0.0043311	0.43593	0.9	2
9.5	-11.1405	1.02174	-0.004331	0.43593	0.925	2
10	-11.038	0.97135	-0.0039981	0.45932	0.95	2
10.5	-10.8286	0.89589	-0.0039981	0.45932	0.96	2.05
11	-10.4917	0.81239	-0.002905	0.54781	0.97	2.1
11.5	-10.0065	0.74134	-0.0024167	0.58409	0.985	2.25
12	-9.3522	0.68325	-0.0020076	0.60927	1	2.4
12.5	-8.6055	0.63869	0.0016681	0.62279	1	2.6
13	-78632	0.60818	0.0013895	0.62407	1	2.8
13.5	-7.1348	0.59228	-0.0011624	0.61253	1.05	2.8
14	-6.4299	0.59151	-0.0008261	0.58762	1.1	2.8
14.5	-5.7578	0.60643	0.0006988	0.49536	1	2.7
15	-5.1282	0.63757	-0.0006988	0.49536	0.9	2.3
15.5	4.5092	0.68548	-0.0005863	0.42687	0.7	1.85
16	-3.9292	0.75069	-0.0004795	0.34271	0.5	1.4
16.5	-3.4873	0.83375	-0.0003695	0.24231	0.4	1
17	-3.283	0.9352	-0.000247	0.1251	0.3	0.6
17.5	-3.4156	1.05558	-0.0001027	-0.0095	0.3	0.6
